iter	Passed	Remaining
412	3398	4830
413	3405	4820
414	3411	4808
415	3417	4797
416	3422	4784
417	3427	4772
418	3433	4760
419	3438	4748
420	3444	4737
421	3449	4724
422	3459	4719
423	3498	4752
424	3558	4813
425	3563	4801
426	3576	4799
427	3587	4794
428	3594	4784
429	3605	4778
430	3611	4767
431	3618	4757
432	3623	4745
433	3629	4733
434	3634	4721
435	3640	4709
436	3648	4700
437	3654	4688
438	3659	4675
439	3664	4663
440	3669	4651
441	3675	4639
442	3680	4627
443	3688	4618
444	3693	4606
445	3699	4595
446	3704	4583
447	3710	4571
448	3715	4559
449	3718	4544
450	3722	4531
451	3728	4520
452	3736	4511
453	3742	4501
454	3748	4490
455	3753	4477
456	3759	4467
457	3764	4455
458	3771	4445
459	3780	4437
460	3786	4427
461	3799	4424
462	3816	4426
463	3828	4422
464	3842	4420
465	3854	4416
466	3884	4433
467	3898	4432
468	3911	4428
469	3918	4419
470	3933	4418
471	3949	4417
472	3960	4412
473	3966	4401
474	3978	4396
475	3983	4385
476	3994	4379
477	4007	4376
478	4012	4364
479	4015	4350
480	4021	4339
481	4025	4325
482	4030	4314
483	4035	4302
484	4040	4290
485	4045	4278
486	4051	4267
487	4057	4256
488	4062	4245
489	4067	4233
490	4073	4222
491	4079	4211
492	4085	4201
493	4091	4190
494	4096	4179
495	4102	4168
496	4108	4158
497	4113	4146
498	4118	4135
499	4124	4124
500	4129	4113
501	4138	4105
502	4142	4093
503	4150	4084
504	4152	4070
505	4157	4059
506	4164	4049
507	4168	4037
508	4174	4027
509	4181	4017
510	4186	4006
511	4207	4010
512	4235	4021
513	4251	4019
514	4290	4040
515	4315	4047
516	4329	4044
517	4345	4043
518	4354	4035
519	4366	4031
520	4371	4019
521	4381	4012
522	4387	4001
523	4394	3992
524	4398	3979
525	4403	3968
526	4410	3958
527	4415	3946
528	4423	3938
529	4428	3926
530	4433	3915
531	4439	3905
532	4444	3894
533	4449	3882
534	4456	3873
535	4462	3863
536	4468	3852
537	4473	3841
538	4478	3830
539	4484	3820
540	4489	3809
541	4495	3798
542	4500	3787
543	4506	3777
544	4512	3767
545	4517	3756
546	4531	3752
547	4538	3743
548	4544	3732
549	4548	3721
550	4553	3710
551	4558	3699
552	4562	3688
553	4567	3677
554	4572	3666
555	4577	3655
556	4582	3644
557	4586	3633
558	4591	3622
559	4597	3612
560	4602	3601
561	4607	3591
562	4613	3581
563	4618	3570
564	4623	3559
565	4633	3552
566	4638	3542
567	4644	3532
568	4651	3523
569	4656	3512
570	4662	3502
571	4666	3492
572	4672	3482
573	4678	3472
574	4683	3461
575	4688	3451
576	4694	3441
577	4708	3437
578	4721	3433
579	4739	3432
580	4754	3428
581	4771	3426
582	4787	3424
583	4797	3417
584	4806	3409
585	4833	3414
586	4857	3417
587	4881	3420
588	4899	3419
589	4905	3408
590	4913	3400
591	4919	3390
592	4927	3382
593	4933	3371
594	4938	3361
595	4947	3353
596	4954	3344
597	4963	3336
598	4968	3326
599	4976	3317
600	4982	3307
601	4991	3299
602	4997	3290
603	5002	3279
604	5010	3271
605	5015	3260
606	5023	3252
607	5028	3242
608	5034	3232
609	5043	3224
610	5048	3214
611	5058	3207
612	5063	3196
613	5074	3190
614	5079	3179
615	5089	3172
616	5094	3162
617	5099	3152
618	5107	3143
619	5111	3132
620	5123	3127
621	5166	3139
622	5176	3132
623	5201	3134
624	5208	3124
625	5223	3120
626	5239	3116
627	5250	3110
628	5255	3099
629	5267	3093
630	5273	3083
631	5283	3076
632	5289	3066
633	5298	3058
634	5305	3049
635	5314	3041
636	5322	3033
637	5336	3027
638	5347	3020
639	5355	3012
640	5366	3005
641	5378	2998
642	5387	2990
643	5399	2984
644	5411	2978
645	5416	2967
646	5422	2958
647	5430	2950
648	5435	2939
649	5444	2931
650	5449	2921
651	5457	2912
652	5462	2902
653	5468	2893
654	5478	2885
655	5482	2875
656	5490	2866
657	5495	2856
658	5501	2846
659	5509	2838
660	5515	2828
661	5524	2820
